State,Yr,TotalPop,Men,Women,VotingAgeCitizen,Employed,Hispanic,White,Black,Native,Asian,Pacific,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,Income,IncomePerCap
Virginia,2015,8256630,49.18408600118935,50.81591399881066,72.04664614982141,3990770,8.591601803641437,63.438650696470575,18.905656956894035,0.2021776196826067,5.921403417617117,0.0675763477350929,11.659568322669173,16.013162391920186,41.64864858907326,17.138798674519737,22.71381660556427,8.625432955091853,9.891052099948771,78.07897552633463,9.489978211449463,4.098447695972812,2.298581661040884,1.5567611846479736,4.493567024318641,27.77627545378683,74.47112263720189,20.38517029344903,5.008295164007592,0.11967084633803388,6.596541664092978,73878.35834663486,34151.87006914443
Washington,2015,6985464,49.92832258529999,50.07167741470001,70.67836868102104,3259877,11.971436600346092,70.76497584126122,3.4826176185289914,1.1675829264884912,7.5975913554203425,0.6066435386396667,13.283879309949917,17.22554974157765,38.26241572499695,17.67612197271362,22.62239500482717,9.936717775655271,11.501214980135893,73.02471696940961,10.3271035538942,5.6599676413764355,3.4323320684209393,2.092520067385645,5.452135062180551,26.082057870457852,77.25831708530745,16.498835610633744,6.061257247907941,0.18408569566746033,7.938559943906376,63350.84105811354,31762.17468789475
West Virginia,2015,1851420,49.34758185608884,50.65241814391116,78.6341294789945,751252,1.3686961899514962,92.54487971394933,3.2645971200483968,0.14004234587505804,0.7192562465566972,0.01976617947305312,18.018966685030943,25.037576778904825,31.65423799029934,18.909702660660468,24.0611708310378,12.30313456698102,13.070897959404132,82.37469007572565,10.128855473096328,0.7664221516457637,2.781299218977866,1.0864038953884045,2.8660644802367905,25.768323286990523,76.39173185986974,19.051992524656747,4.434321169696774,0.110466560801979,7.8721046548055025,42958.735207360514,23450.127817567056
Wisconsin,2015,5742117,49.65738246016234,50.34261753983766,74.78637234316193,2883390,6.34772788502916,82.37679853963267,6.166635441249283,0.8039752411871791,2.498064529162329,0.007134023914873208,12.96872066521807,17.584770599414814,34.273999711256316,17.12986588395882,23.02815623575765,8.577796742908582,16.978523008151864,80.52717992336275,8.49662312697564,1.9124549360453629,3.3159486649261924,1.6807191319856423,4.078223588965532,21.975548321289864,82.28457121302127,12.354082318420197,5.168772858511938,0.17930550701074183,6.356414942433254,54840.153988881146,28339.693119105723
Wyoming,2015,579679,50.987011777207734,49.012988222792266,74.18347050695299,293949,9.621549167729036,84.47483624557728,1.0244932108977556,1.9035067684011326,0.8932602354061474,0.07003807279546094,11.558805649333511,14.74021277293123,32.55650316813271,17.68619891353663,21.267844444942806,16.051559225019364,12.45448567224274,76.84378423230788,11.21511836723428,1.556640485510084,3.7919829767854276,2.1072823062419035,4.481381074698238,18.41296458902254,72.05265638396425,21.27897784808489,6.420345053037975,0.24303485204742623,4.8760055133962075,60042.4427094496,29802.93726700467
Puerto Rico,2015,3583073,47.83212622237951,52.1678737776205,76.08616960915951,1063350,99.00116522884129,0.6940524795336296,0.07444891577704392,0.00013036295939267774,0.07422516928904324,0.0005146699495098201,45.52150185050653,57.3605804012366,31.301506025693577,20.836602491771732,27.34229863583577,9.931312702811246,10.586696447434928,81.79447253795836,8.684692915829515,2.2024482336809776,3.3812220125015586,1.8624364616629352,2.086899429623678,29.397355342746305,67.54808115826833,23.435067468622602,8.868756399883566,0.16680902119493526,18.34863727308933,20808.27894672497,11394.366516953463
Alabama,2017,4850771,48.46252276184549,51.537477238154516,75.28522785346907,2055509,4.090537999010879,65.92589914056961,26.39489551248658,0.4680747658465015,1.2716478885521496,0.019179961288628138,17.974093314238086,25.94420363278332,33.510849739144554,16.656190984897034,23.626119414831173,9.817893402925021,16.373561646179546,85.86843897598956,8.613963677114421,0.3551900512310311,1.1157106571305881,1.012711113346724,3.0170056471435167,24.66648771916877,78.99140907703124,15.603071346802402,5.208222816537823,0.1920822689836317,7.552098357147763,48069.1526176728,25746.341350065795
Alaska,2017,738565,52.3067028629843,47.6932971370157,71.83565427552078,354045,6.812066371951012,61.5438340565827,3.0254715563288266,13.762591376520684,6.061670807579564,1.1718345710939455,10.176224976813144,13.532852897172216,36.58442791088126,17.387422907936333,22.718111472923844,12.522876524070323,10.787593238239017,67.39213000886855,12.352141517672782,1.4335279900888889,8.371684279650403,5.896637668993251,4.526250770074401,19.050472741058663,67.83247757475648,25.679875569516554,6.229770974795717,0.20757861528775395,8.006877119820196,76701.90030645822,35064.42343057145
Arizona,2017,6809946,49.70751603610367,50.29248396389634,68.87245508261005,2953891,30.887944574009836,55.588157189499,4.069675324885102,3.8882474398475404,3.0599847487777434,0.17451537794866512,16.952274863853546,23.992274711135746,35.31765721783991,19.884103559705178,25.83721565486716,9.287023568175137,9.743137287725924,76.69987550562077,10.884049697310376,1.9258166070626699,1.9988843670713397,2.5840637356008402,5.829245474193187,25.030532415381845,79.3241553310408,14.420068631968597,6.053743671388878,0.13779690764067734,7.209409076077843,54784.93100287045,27963.44516153285
Arkansas,2017,2977944,49.082554943947905,50.91744505605209,73.33566380025951,1276536,7.16648973251344,73.0074922832666,15.357784531878368,0.5728042904769197,1.4123282036196787,0.22761327949753252,18.1782890477457,25.83750429826754,32.58556420134159,17.09097320164517,23.297408950604847,10.650313303406648,16.396738286549372,82.88427364651587,10.565635149620002,0.35875419416886284,1.7615587465714604,1.2407476097602912,3.211411866710724,21.686166025956165,77.92632950787522,15.716623448929868,6.1772698546379665,0.1789815725211757,6.361165723734227,45407.40428158704,24426.218718350647
California,2017,38982847,49.679745042736364,50.32025495726364,64.05409281677143,17993915,38.75121655173107,37.909617314507585,5.547530035453799,0.35628258500463045,13.929403906800344,0.34674297390336845,15.118114477375135,20.242039725831212,37.47399537288798,18.766908804787917,23.152147997297376,9.350224079323914,11.223653346816869,74.01251645114579,10.510062258921215,4.855329909588183,2.5877738816767275,2.5037249819131993,5.509112548911577,28.761564774886754,77.97388497818031,13.723004371640684,8.114900045653414,0.18860316692621246,7.768741716068097,70154.81422575354,33127.865984210956
Colorado,2017,5436519,50.24014447480087,49.75985552519912,71.61496170619472,2760076,21.287204256988716,68.6498065030215,3.873329385954507,0.5255432382375562,2.9675539439851137,0.1512553345256404,11.543312108354629,14.712616510675305,40.887413011892335,17.38541544690638,23.08827251408484,9.475947623837975,9.150072298101046,75.42649355221604,9.211702617060663,3.005172703341975,2.8303895194700868,2.2074100541173496,7.2942732104863435,25.12597097517731,79.74710115057077,13.7053281336826,6.3583194503688825,0.19317476863412048,5.353001654183496,67766.18563256954,34845.26949983988
Connecticut,2017,3594478,48.7983512487766,51.2016487512234,72.32744226004444,1805086,15.346836981614576,68.0225548744491,9.759911425247282,0.12266860445383168,4.294364439008946,0.0,10.075529993506706,13.503499117257082,42.53167550336934,17.836153121538096,22.88844260557444,7.347755557274241,9.404487995197076,78.14891962059582,8.116232788182318,4.90991292755165,2.8911116162068597,1.1474731518735128,4.794161433176111,26.049735427508523,80.47103070320641,12.978889925046142,6.360251001675349,0.157328824936472,7.256693378009269,75112.86634431822,41365.57994735258
